Name,Product Name,URL,Price
Brushless motor,GM5208-12 BLDC Motor,https://shop.iflight.com/ipower-motor-gm5208-12-brushless-gimbal-motor-pro279?srsltid=AfmBOop-IIoElnnVIR0eNZS9IdcVZnk7Jnqs4_4SnPiMBMIQoA5pKYYr,$39.90
Slip ring,Gimbal Motor Slipring - OD 12.5mm,https://shop.iflight.com/gimbal-motor-slipring-12-5mm-12-wire-diameter-pro178,$9.99
Magnetic encoder,AS5600 Magnetic Encoder,,$2.00
Ball bearing,MR106-ZZ Bearing,https://www.amazon.com/dp/B08M9QN999?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,$12.99
Optical encoder,E4T Optical Encoder,https://www.usdigital.com/products/encoders/incremental/kit/e4t/?q=E4T-1000-236-S-H-M-B,$56.63
Motor controller,MKS ESP32 FOC V1,https://www.aliexpress.us/item/3256805324882671.html?spm=a2g0o.order_list.order_list_main.5.62551802vtinOI&gatewayAdapt=glo2usa,$23.52
USB C breakout board,Adafruit HUSB238 USB Type C Power Delivery Breakout,https://www.adafruit.com/product/5807,$11.95
Magnet,5mm x 2mm Magnet,https://www.amazon.com/dp/B0BJDZRHV7?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,$4.35
Screws,uxcell M3x3mm Metric Carbon Steel Hex Socket,https://www.amazon.com/dp/B077SRNQZB?ref=ppx_yo2ov_dt_b_fed_asin_title,$6.74
CNC Manufacturing,,https://jlccnc.com/?spm=Jlc3dp.Homepage.1001,$200.00
Spray Paint,"Rust-Oleum 331182 Painter's Touch 2X Ultra Cover Spray Paint, 12 oz, Ultra Matte Black",https://www.amazon.com/dp/B0787D4CMM?ref=ppx_yo2ov_dt_b_fed_asin_title,$5.99
Filler Primer,,https://www.amazon.com/dp/B003CT4AM0?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,$7.47
Heat tape,Heat Resistant Tape,https://www.amazon.com/dp/B00W3FAFP0?ref=ppx_yo2ov_dt_b_fed_asin_title,$4.99
Sanding Paper,,https://www.amazon.com/dp/B0CGJ6HVMP?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,$4.33
